Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2023-08-10 00:00:00.0;14.94722;94;1009.274;4.581779
2023-08-11 00:00:00.0;13.44306;59;1014.447;11.41086
2023-08-12 00:00:00.0;7.993055;51;1025.164;11.12124
2023-08-13 00:00:00.0;7.236112;58;1021.862;10.8777
2023-08-14 00:00:00.0;14.61539;48;1014.555;8.785381
2023-08-15 00:00:00.0;18.29722;56;1010.237;9.306958
2023-08-16 00:00:00.0;20.72569;85;1008.359;4.78644
2023-08-17 00:00:00.0;15.425;100;1008.04;0.28758
2023-08-18 00:00:00.0;13.82778;76;1010.568;7.926961
2023-08-19 00:00:00.0;9.207635;59;1008.014;7.97052
2023-08-20 00:00:00.0;8.998609;83;1008.552;7.04202
2023-08-21 00:00:00.0;10.54792;89;1002.956;7.341121
2023-08-22 00:00:00.0;14.91736;75;999.9223;11.1678
2023-08-23 00:00:00.0;10.57639;85;1007.226;3.08358
2023-08-24 00:00:00.0;11.57431;68;1014.482;7.694881
2023-08-25 00:00:00.0;10.20972;65;1019.832;12.50106
2023-08-26 00:00:00.0;8.003472;66;1024.879;13.82166
2023-08-27 00:00:00.0;7.856249;70;1027.192;13.87788
2023-08-28 00:00:00.0;10.02361;65;1023.153;13.30494
2023-08-29 00:00:00.0;12.82986;63;1020.982;12.20448
2023-08-30 00:00:00.0;14.42848;62;1013.395;13.59156
2023-08-31 00:00:00.0;13.15277;51;1017.835;13.02462
2023-09-01 00:00:00.0;16.12361;70;1009.93;12.14574
2023-09-02 00:00:00.0;14.7139;83;1011.133;3.6264
2023-09-03 00:00:00.0;9.169441;100;1012.338;0.6494399
2023-09-04 00:00:00.0;10.14236;85;1018.761;7.04838
2023-09-05 00:00:00.0;8.680554;74;1027.011;10.51908
2023-09-06 00:00:00.0;10.20139;73;1022.679;7.157161
2023-09-07 00:00:00.0;14.01597;97;1012.015;1.67538
2023-09-08 00:00:00.0;12.29167;82;1015.306;13.54104
2023-09-09 00:00:00.0;14.06806;73;1017.027;12.94854
2023-09-10 00:00:00.0;16.39445;80;1012.011;13.12404
2023-09-11 00:00:00.0;17.03333;87;1005.672;6.816121
2023-09-12 00:00:00.0;13.22014;57;1017.998;14.30346
2023-09-13 00:00:00.0;12.15555;67;1020.487;14.4861
2023-09-14 00:00:00.0;12.0375;67;1017.434;13.7226
2023-09-15 00:00:00.0;18.28889;53;1007.211;15.10938
2023-09-16 00:00:00.0;20.10346;56;1002.804;16.18854
2023-09-17 00:00:00.0;17.0125;66;1010.674;2.343361
2023-09-18 00:00:00.0;13.41528;65;1019.249;16.88208
2023-09-19 00:00:00.0;12.97361;82;1020.43;9.684959
2023-09-20 00:00:00.0;15.52847;94;1016.164;4.11618
2023-09-21 00:00:00.0;17.50556;96;1009.355;4.3068
2023-09-22 00:00:00.0;14.60208;88;1014.986;8.265479
2023-09-23 00:00:00.0;13.5375;94;1012.398;4.38252
2023-09-24 00:00:00.0;13.66459;79;1015.108;7.576919
2023-09-25 00:00:00.0;13.6632;70;1015.779;15.77682
2023-09-26 00:00:00.0;13.55278;80;1016.273;3.49698
2023-09-27 00:00:00.0;12.45278;74;1018.769;18.38226
2023-09-28 00:00:00.0;15.77014;69;1018.581;19.10304
2023-09-29 00:00:00.0;14.56736;74;1021.486;17.89056
2023-09-30 00:00:00.0;11.70903;74;1021.299;19.71084
2023-10-01 00:00:00.0;12.01528;67;1016.944;19.88448
2023-10-02 00:00:00.0;14.3257;77;1012.802;18.88555
2023-10-03 00:00:00.0;14.98681;82;1010.386;13.37976
2023-10-04 00:00:00.0;14.91667;76;1011.075;13.89294
2023-10-05 00:00:00.0;15.14306;53;1006.773;19.95263
2023-10-06 00:00:00.0;18.46042;46;1010.726;20.14446
2023-10-07 00:00:00.0;16.67639;57;1018.103;20.50302
2023-10-08 00:00:00.0;17.78542;54;1016.053;20.40846
2023-10-09 00:00:00.0;21.4868;46;1014.074;20.08674
2023-10-10 00:00:00.0;22.72015;60;1009.282;18.35802
2023-10-11 00:00:00.0;13.78681;67;1019.665;12.82848
2023-10-12 00:00:00.0;9.589584;71;1023.584;21.3735
2023-10-13 00:00:00.0;12.29028;69;1023.674;21.71322
2023-10-14 00:00:00.0;14.69722;64;1021.247;21.37644
2023-10-15 00:00:00.0;18.61111;71;1015.969;21.66636
2023-10-16 00:00:00.0;20.79306;76;1010.615;18.04956
